UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,Id,DEST_AIRPORT_ID,Target,MONTH
"Scott Aviation, LLC  d/b/a  Silver Air",15589,VGT,11450,DVT,3
"ADVANCED AIR, LLC",15649,VWD,14898,SMO,3
Boutique Air,10925,CDR,10221,AIA,5
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,10440,AWM,13461,MQY,2
Chartright Air Inc.,11288,DEC,16271,YYZ,6
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,12455,JBR,13461,MQY,6
Tropic Ocean Airways LLC,13746,NSB,14027,PBI,4
Tradewind Aviation,10569,BFT,12197,HPN,4
Tradewind Aviation,13463,MRB,10540,BED,4
SkyWest Airlines Inc.,14006,PAH,13344,MKG,7
Tradewind Aviation,16847,IL3,11764,FRG,2
Tradewind Aviation,15737,WDR,12197,HPN,2
FAI rent-a-jet AG,14754,SEN,15304,TPA,4
Kenmore Air Harbor,15707,WA6,13002,LKE,7
Albinati Aeronautics SA,15254,TLN,15167,TEB,7
"ADVANCED AIR, LLC",11554,EMT,11218,CXL,4
Chartright Air Inc.,15011,STF,16115,YLW,4
VistaJet Limited,10750,BRS,15167,TEB,9
Tradewind Aviation,16022,YCL,12197,HPN,6
Tradewind Aviation,16168,YQI,10721,BOS,6
"Scott Aviation, LLC  d/b/a  Silver Air",14653,RVS,10423,AUS,10
Tradewind Aviation,13032,LNS,12250,HYA,5
Chartright Air Inc.,16547,IA4,16078,YHM,8
Chartright Air Inc.,16864,ZMH,15232,TKF,8
VistaJet Limited,10160,ADB,11618,EWR,7
Tradewind Aviation,15546,VA2,14131,PKB,8
"Maritime Helicopters, Inc.",11034,CKU,15579,VDZ,6
"Jet Aviation Flight Services, Inc.",12930,LDY,14100,PHL,9
Tradewind Aviation,13654,NEV,14843,SJU,3
Air Alsie A/S,11620,EXT,10540,BED,4
"ADVANCED AIR, LLC",11342,DLS,12127,HHR,9
"Scott Aviation, LLC  d/b/a  Silver Air",11780,FST,10372,ASE,6
